"id (S)","color (L)","earringElement (L)","earringPrice (N)","earringRemovedBgImg (S)","earringStyle (L)","earringThumbnailUrl (S)","shopName (S)","shopUrl (S)","earringName (S)"
"00001","[  { ""S"" : ""흰색"" }]","[  { ""S"" : ""다이아몬드"" }]","732000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387671/%EB%93%80%EC%97%90_%EC%B9%B4%EB%A5%B4%EB%85%B8%EC%82%AC_vimjcx.png","[  { ""S"" : ""우아"" },  { ""S"" : ""고급"" },  { ""S"" : ""세련"" }]","http://lond.co.kr/upload/prod/%EB%93%80%EC%97%90%20%EC%B9%B4%EB%A5%B4%EB%85%B8%EC%82%AC%20%EA%B7%80%EA%B1%B8%EC%9D%B4-2.jpg","lond","http://lond.co.kr/sub/product_detail.asp?idx=524","듀에 카르노사 귀걸이"
"00002","[  { ""S"" : ""흰색"" }]","[  { ""S"" : ""다이아몬드"" }]","1334000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387672/%EC%95%84%EB%A5%B4%EC%BD%94_znxg0u.png","[  { ""S"" : ""우아"" },  { ""S"" : ""고급"" },  { ""S"" : ""세련"" }]","http://lond.co.kr/upload/prod/%EC%95%84%EB%A5%B4%EC%BD%94%20%EA%B7%80%EA%B1%B8%EC%9D%B4-2.jpg","lond","http://lond.co.kr/sub/product_detail.asp?idx=516","아르코 귀걸이"
"00003","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""골드"" }]","732000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387672/%EB%B8%8C%EB%A0%88%EC%9D%B8103_puiww0.png","[  { ""S"" : ""독특"" },  { ""S"" : ""고급"" },  { ""S"" : ""섬세"" }]","http://lond.co.kr/upload/prod/%EC%99%80%EC%9D%B4%EC%A6%88103E-2(0).jpg","lond","http://lond.co.kr/sub/product_detail.asp?idx=165","와이즈103 귀걸이"
"00004","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""금"" }]","908000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387672/%EC%82%B0%ED%86%A0%EB%A6%AC%EB%8B%88_kyxxvp.png","[  { ""S"" : ""우아"" },  { ""S"" : ""세련"" }]","http://trishadia.com/web/product/medium/201903/70e8241f6081e30b4656098516c73af5.png","TRISHA","http://trishadia.com/product/detail_item.html?product_no=1286&cate_no=37&display_group=1","산토리니 ARCH_S-C 귀걸이"
"00005","[  { ""S"" : ""금색"" }]","[  { ""S"" : ""금"" }]","208000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387672/%EB%B3%BC%EB%A5%A8%ED%95%98%ED%8A%B8_nfalme.png","[  { ""S"" : ""우아"" },  { ""S"" : ""고급"" },  { ""S"" : ""세련"" }]","http://trishadia.com/web/product/medium/201810/d177a0e883777efbf8ed3028e8a4256f.png","TRISHA","http://trishadia.com/product/detail_item.html?product_no=937&cate_no=37&display_group=1","볼륨하트 귀걸이"
"00006","[  { ""S"" : ""핑크"" },  { ""S"" : ""블루"" }]","[  { ""S"" : ""금"" },  { ""S"" : ""탄생석"" }]","367000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387672/%EC%8A%A4%ED%83%88%EB%A6%AC_%ED%8F%AC%EC%9D%B8%ED%8A%B8_%ED%83%84%EC%9E%90%EB%82%98%EC%9D%B4%ED%8A%B8_%EA%B7%80%EA%B1%B8%EC%9D%B4_hda2il.png","[  { ""S"" : ""심플"" },  { ""S"" : ""세련"" }]","http://trishadia.com/web/product/medium/201810/f4757aade0bcf8634d1bdcdd2dac7cf3.png","TRISHA","http://trishadia.com/product/detail_item.html?product_no=1000&cate_no=37&display_group=1","스탈리 포인트 탄자나이트 귀걸이"
"00007","[  { ""S"" : ""은색"" }]","[  { ""S"" : ""은"" }]","73000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387671/K1415_yog0e0.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" }]","https://stonehenge.co.kr/admin/upload/STONE/AUTO/SH01/list_K1415[1].png","STONEHENGE","https://stonehenge.co.kr/index_subpage.html?mainwhat=3&collwhat=&itemwhat=CT02&optwhat=&pglinkidx=SH01&contuid=1038&gdlinkcode=K1415","K1415"
"00008","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""금"" }]","11000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573387671/T1373_sqz5tr.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" }]","https://stonehenge.co.kr/admin/upload/STONE/AUTO/SH01/list_T1373-r[1].png","STONEHENGE","https://stonehenge.co.kr/index_subpage.html?mainwhat=3&collwhat=&itemwhat=CT02&optwhat=&pglinkidx=SH01&contuid=949&gdlinkcode=T1373","T1373"
"00009","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""신주"" },  { ""S"" : ""골드도금"" }]","11000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573388113/%EC%A0%9C%EB%8B%88%ED%8D%BC_%EA%B7%80%EA%B1%B8%EC%9D%B4_o7j8cq.png","[  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201909/a9f6cf4ca12d192cd49ef08178d10f60.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2001&cate_no=180&display_group=1","제니퍼 귀걸이"
"00010","[  { ""S"" : ""골드"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""진주"" },  { ""S"" : ""신주"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""백금도금"" }]","13000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573388114/%EC%98%88%EB%BB%90%EC%84%9C_%EA%B7%B8%EB%9E%98_wzd9hn.png","[  { ""S"" : ""우아"" },  { ""S"" : ""순수"" },  { ""S"" : ""화려"" }]","https://wingbling.co.kr/web/product/tiny/201712/1330_shop1_783926.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1330&cate_no=180&display_group=1","예뻐서그래 귀걸이"
